VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,duration_min,avg_speed_mph,tip_percentage,time_of_day
2,2019-01-01 00:19:27,2019-01-01 00:20:01,1,0.0,1,N,161,161,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,,,,
1,2019-01-01 00:16:41,2019-01-01 00:45:28,0,10.9,1,N,33,24,2,33.5,0.5,0.5,0.0,0.0,0.3,34.8,,,,,
1,2019-01-01 00:49:16,2019-01-01 00:53:37,0,0.7,1,N,151,238,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,,,,,
1,2019-01-01 00:59:39,2019-01-01 01:17:25,0,2.6,1,N,143,140,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,,,,,
2,2019-01-01 00:22:13,2019-01-01 00:26:40,4,0.42,1,N,234,113,3,-4.5,-0.5,-0.5,0.0,0.0,-0.3,-5.8,,,,,
1,2019-01-01 00:50:12,2019-01-01 00:56:00,0,2.1,1,N,264,264,1,7.5,0.5,0.5,2.0,0.0,0.3,10.8,,,,,
1,2019-01-01 00:18:46,2019-01-01 00:18:46,1,0.0,5,N,186,264,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1,2019-01-01 00:20:54,2019-01-01 00:40:04,0,4.1,1,N,48,125,2,16.0,0.5,0.5,0.0,0.0,0.3,17.3,,,,,
2,2019-01-01 00:51:26,2019-01-01 00:51:45,1,0.0,1,N,79,79,1,2.5,0.5,0.5,4.0,0.0,0.3,7.8,,,,,
1,2019-01-01 00:54:29,2019-01-01 00:54:29,1,0.0,1,Y,249,264,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,,,,
2,2019-01-01 00:43:40,2019-01-01 00:51:51,5,0.47,3,N,161,163,3,-24.0,-0.5,0.0,0.0,0.0,-0.3,-24.8,,,,,
2,2019-01-01 00:22:39,2019-01-01 00:27:20,1,0.7,2,N,142,142,2,-52.0,0.0,-0.5,0.0,0.0,-0.3,-52.8,,,,,
2,2019-01-01 00:37:40,2019-01-01 00:37:46,1,0.0,5,N,68,68,1,11.0,0.0,0.0,0.0,0.0,0.3,11.3,,,,,
1,2019-01-01 00:35:19,2019-01-01 00:43:00,0,0.8,1,N,107,164,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,,,,,
1,2019-01-01 00:49:48,2019-01-01 00:57:53,0,1.5,1,N,186,113,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,,,,,
2,2019-01-01 00:56:25,2019-01-01 00:56:30,1,0.0,5,N,233,233,1,15.0,0.0,0.0,3.06,0.0,0.3,18.36,,,,,
1,2019-01-01 00:20:47,2019-01-01 00:23:04,0,0.5,1,N,236,236,1,4.0,0.5,0.5,0.79,0.0,0.3,6.09,,,,,
1,2019-01-01 00:31:01,2019-01-01 00:38:52,0,1.6,1,N,236,238,1,8.0,0.5,0.5,2.75,0.0,0.3,12.05,,,,,
2,2019-01-01 00:10:25,2019-01-01 00:13:38,2,0.4,1,N,42,41,4,-4.0,-0.5,-0.5,0.0,0.0,-0.3,-5.3,,,,,
2,2019-01-01 00:35:06,2019-01-01 00:35:10,1,0.0,1,N,231,231,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,,,,
1,2019-01-01 00:54:23,2019-01-01 00:58:24,0,0.6,1,N,164,170,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95,,,,,
1,2019-01-01 00:09:05,2019-01-01 00:23:17,0,2.6,1,N,148,246,1,12.0,0.5,0.5,0.0,0.0,0.3,13.3,,,,,
1,2019-01-01 00:26:06,2019-01-01 00:42:35,0,3.2,1,N,246,261,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,,,,,
1,2019-01-01 00:44:39,2019-01-01 00:58:21,0,2.7,1,N,261,158,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,,,,,
